,Name,Country,Age,Role,Batting style,Bowling style,Test Matches,ODI Matches,T20 Matches,Ipl Matches,Test Innings,ODI Innings,T20 Innings,IPL Innings,Test Runs,ODI Runs,T20 Runs,IPL Runs,Test Balls,ODI Balls,T20 Balls,IPL Balls,Test Highest,ODI Highest,T20 Highest,IPL Highest,Test Average,ODI Average,T20 Average,IPL Average,Test Strikerate,ODI Strikerate,T20 Strikerate,IPL Strikerate,Test Fours,ODI Fours,T20 Fours,IPL Fours,Test Sixes,ODI Sixes,T20 Sixes,IPL Sixes,Test Ducks,ODI Ducks,T20 Ducks,IPL Ducks,Test 50s,ODI 50S,T20 50s,IPL 50s,Test 100s,ODI 100s,T20 100s,IPL 100s,Test 200s,ODI 200s,T20 200s,IPL 200s,Test bowl balls,Test bowl runs,Test Maidens,Test Wickets,Test Economy,ODI bowl balls,ODI bowl runs,ODI Maidens,ODI Wickets,ODI Economy,T20 bowl balls,T20 bowl runs,T20 Maidens,T20 Wickets,T20 Economy,IPL bowl balls,IPL bowl runs,IPL Maidens,IPL Wickets,IPL Economy
0,Sachin Tendulkar,India,53,Batsman ,Right Handed Bat ,Right-arm legbreak,200,463,1,78,329,452,1,78,15921,18426,10,2334,29437,21367,12,1948,248,200,10,100,53.79,44.83,10,33.83,54.09,86.24,83.34,119.82,2058,2016,2,295,69,195,0,29,14,20,0,4,68,96,0,13,51,49,0,1,6,1,0,0,4240,2492,83,46,3.53,8054,6850,24,154,5.1,15,12,0,1,4.8,36,58,0,0,9.67
1,Virender Sehwag,India,47,Batsman ,Right Handed Bat ,Right-arm offbreak,104,251,19,104,180,245,18,104,8586,8273,394,2728,10441,7929,271,1755,319,219,68,122,49.34,35.06,21.89,27.56,82.24,104.34,145.39,155.45,1233,1132,43,334,91,136,16,106,16,14,1,7,32,38,2,16,23,15,0,2,6,1,0,0,3731,1894,73,40,3.05,4392,3853,13,96,5.26,6,20,0,0,20,136,235,0,6,10.37
2,Rahul Dravid,India,53,Batsman ,Right Handed Bat ,Right-arm offbreak,164,344,1,89,286,318,1,82,13288,10889,31,2174,31258,15284,21,1882,270,153,31,75,52.31,39.17,31,28.23,42.52,71.25,147.62,115.52,1655,950,0,268,21,42,3,28,8,13,0,3,63,83,0,11,36,12,0,0,5,0,0,0,120,39,4,1,1.95,186,170,1,4,5.48,0,0,0,0,0,0,0,0,0,0
3,VVS Laxman,India,51,Batsman ,Right Handed Bat ,Right-arm offbreak,134,86,0,20,225,83,0,20,8781,2338,0,282,17785,3282,0,267,281,131,0,52,45.5,30.76,0,14.84,49.38,71.24,0,105.62,1135,222,0,33,5,4,0,5,15,3,0,4,56,10,0,1,17,6,0,0,2,0,0,0,324,126,12,2,2.33,42,40,0,0,5.71,0,0,0,0,0,0,0,0,0,0
4,Sourav Ganguly,India,53,Batsman ,Left Handed Bat ,Right-arm medium,113,311,0,59,188,300,0,56,7212,11363,0,1349,14070,15416,0,1263,239,183,0,91,42.18,40.73,0,25.45,51.26,73.71,0,106.81,900,1122,0,137,57,190,0,42,13,16,0,4,35,72,0,7,16,22,0,0,1,0,0,0,3117,1681,110,32,3.24,4561,3849,30,100,5.06,0,0,0,0,0,276,363,0,10,7.89
5,Shoaib Akhtar,Pakistan,50,Bowler ,Right Handed Bat ,Right-arm fast,46,163,15,3,67,84,6,1,544,394,21,2,1313,538,16,7,47,43,8,2,10.07,8.95,7,2,41.44,73.24,131.25,28.58,53,27,2,0,22,12,1,0,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8143,4574,237,178,3.37,7764,6169,99,247,4.77,318,432,3,19,8.15,42,54,0,5,7.71
6,Mohammad Sami,Pakistan,45,Bowler ,Right Handed Bat ,Right-arm fast,36,87,13,0,56,46,4,0,487,314,21,0,1582,490,30,0,49,46,8,0,11.6,11.63,21,0,30.79,64.09,70.00,0,53,16,2,0,4,10,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7499,4483,193,85,3.59,4284,3567,42,121,5,276,387,0,21,8.41,0,0,0,0,0
7,Shabbir Ahmed,Pakistan,50,Bowler ,Right Handed Bat ,Right-arm fast-medium,10,32,1,0,15,11,0,0,88,10,0,0,234,29,0,0,24,2,0,0,8.8,1.67,0,0,37.61,34.49,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2576,1175,97,51,2.74,1642,1192,25,33,4.36,12,19,0,0,9.5,0,0,0,0,0
8,Shoaib Malik,Pakistan,44,Batting Allrounder ,Right Handed Bat ,Right-arm offbreak,35,287,124,7,60,258,111,5,1898,7534,2435,52,4155,9199,1938,47,245,143,75,24,35.15,34.56,31.22,13,45.68,81.91,125.65,110.64,239,603,196,5,17,113,69,0,6,15,2,0,8,44,9,0,3,9,0,0,1,0,0,0,2712,1519,61,32,3.36,7958,6192,38,158,4.67,570,675,0,28,7.11,51,85,0,2,10
9,Mohammad Yousuf,Pakistan,51,Batsman ,Right Handed Bat ,Right-arm offbreak,90,288,3,0,156,273,3,0,7530,9720,50,0,14372,12942,43,0,223,141,26,0,52.29,41.72,16.67,0,52.40,75.11,116.28,0,957,785,5,0,51,90,1,0,11,15,0,0,33,64,0,0,24,15,0,0,4,0,0,0,6,3,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
