,Name,Country,Age,Role,Batting style,Bowling style,Test Matches,ODI Matches,T20 Matches,Ipl Matches,Test Innings,ODI Innings,T20 Innings,IPL Innings,Test Runs,ODI Runs,T20 Runs,IPL Runs,Test Balls,ODI Balls,T20 Balls,IPL Balls,Test Highest,ODI Highest,T20 Highest,IPL Highest,Test Average,ODI Average,T20 Average,IPL Average,Test Strikerate,ODI Strikerate,T20 Strikerate,IPL Strikerate,Test Fours,ODI Fours,T20 Fours,IPL Fours,Test Sixes,ODI Sixes,T20 Sixes,IPL Sixes,Test Ducks,ODI Ducks,T20 Ducks,IPL Ducks,Test 50s,ODI 50S,T20 50s,IPL 50s,Test 100s,ODI 100s,T20 100s,IPL 100s,Test 200s,ODI 200s,T20 200s,IPL 200s,Test bowl balls,Test bowl runs,Test Maidens,Test Wickets,Test Economy,ODI bowl balls,ODI bowl runs,ODI Maidens,ODI Wickets,ODI Economy,T20 bowl balls,T20 bowl runs,T20 Maidens,T20 Wickets,T20 Economy,IPL bowl balls,IPL bowl runs,IPL Maidens,IPL Wickets,IPL Economy
0,Virat Kohli,India,37,Batsman ,Right Handed Bat ,Right-arm medium,123,314,125,283,210,302,117,275,9230,14941,4188,9336,16608,15903,3056,6926,254,183,122,113,46.85,58.59,48.7,40.42,55.58,93.96,137.05,134.80,1027,1389,369,844,30,172,124,316,15,18,7,12,31,79,38,68,30,54,1,9,7,0,0,0,175,84,2,0,2.88,662,680,1,5,6.16,152,204,0,4,8.05,251,368,0,4,8.8
1,Rohit Sharma,India,39,Batsman ,Right Handed Bat ,Right-arm offbreak,67,288,159,281,116,280,151,276,4301,11895,4231,7329,7538,12784,3003,5514,212,264,121,109,40.58,48.95,31.34,29.79,57.06,93.05,140.90,132.92,473,1125,383,661,88,369,205,323,6,16,12,19,18,62,32,49,12,34,5,2,1,3,0,0,383,224,5,2,3.51,610,533,2,9,5.24,68,113,0,1,9.97,339,453,0,15,8.02
2,Shikhar Dhawan,India,40,Batsman ,Left Handed Bat ,Right-arm offbreak,34,167,68,222,58,164,66,221,2315,6793,1759,6768,3458,7436,1392,5324,190,143,92,106,40.61,44.11,27.92,35.07,66.95,91.36,126.37,127.13,316,842,191,768,12,79,50,152,4,5,2,12,5,39,11,51,7,17,0,2,0,0,0,0,54,18,2,0,2,0,0,0,0,0,0,0,0,0,0,48,66,0,4,8.25
3,Shubman Gill,India,27,Batsman ,Right Handed Bat ,Right-arm offbreak,43,67,36,134,77,66,36,131,3043,3379,869,4598,4956,3347,627,3236,269,208,126,129,42.86,59.28,28.03,40.33,61.41,100.96,138.60,142.09,342,395,98,446,47,69,26,152,5,1,2,4,9,20,3,32,11,9,1,5,1,1,0,0,19,9,0,0,2.84,18,25,0,0,8.33,0,0,0,0,0,0,0,0,0,0
4,Shreyas Iyer,India,31,Batsman ,Right Handed Bat ,Right-arm legbreak,14,82,62,146,24,76,58,145,811,3136,1423,4229,1287,3205,1030,3093,105,128,80,101,36.86,45.45,32.34,35.84,63.02,97.85,138.16,136.73,94,283,120,353,16,78,51,182,2,2,4,7,5,24,10,32,1,5,0,1,0,0,0,0,6,2,0,0,2,37,39,0,0,6.32,2,2,0,0,0,6,7,0,0,7
5,Manish Pandey,India,37,Batsman ,Right Handed Bat ,Right-arm medium,0,29,39,180,0,24,33,164,0,566,709,4012,0,625,562,3293,0,104,79,114,0,33.29,44.31,29.5,0,90.56,126.16,121.84,0,45,49,347,0,5,19,117,0,2,2,14,0,2,3,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Mayank Agarwal,India,35,Batsman ,Right Handed Bat ,Right-arm offbreak,21,5,0,131,36,5,0,125,1488,86,0,2760,2782,83,0,2064,243,32,0,106,41.33,17.2,0,23,53.49,103.62,0,133.73,189,12,0,274,28,1,0,100,1,0,0,7,6,0,0,13,4,0,0,1,2,0,0,0,0,0,0,0,0,6,10,0,0,10,0,0,0,0,0,0,0,0,0,0
7,Prithvi Shaw,India,26,Batsman ,Right Handed Bat ,Right-arm offbreak,5,6,1,79,9,6,1,79,339,189,0,1892,394,166,1,1283,134,49,0,99,42.38,31.5,0,23.95,86.05,113.86,0.00,147.47,48,32,0,238,2,2,0,61,1,0,1,7,2,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Cheteshwar Pujara,India,38,Batsman ,Right Handed Bat ,Right-arm legbreak,103,5,0,30,176,5,0,22,7195,51,0,390,16217,130,0,391,206,27,0,51,43.61,10.2,0,20.53,44.37,39.24,0,99.75,863,4,0,50,16,0,0,4,12,2,0,1,35,0,0,1,19,0,0,0,3,0,0,0,12,3,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Ajinkya Rahane,India,38,Batsman ,Right Handed Bat ,Right-arm medium,85,90,20,212,144,87,20,197,5077,2962,375,5367,10256,3767,331,4273,188,111,61,105,38.46,35.26,20.83,30.15,49.51,78.64,113.30,125.61,579,293,32,539,35,33,6,141,10,6,2,15,26,24,1,35,12,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,5
